title,link
Greedy Linear Value-approximation fo r Factored Markov Decision Processes,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DDpLFv4gAAAAJ%3Ar0BpntZqJG4C%26tzom%3D-540
Blitz: A principled meta-algorithm for scaling sparse optimization,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DDpLFv4gAAAAJ%3Aj8SEvjWlNXcC%26tzom%3D-540
Learning thin junction trees via graph cuts,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DDpLFv4gAAAAJ%3ApqnbT2bcN3wC%26tzom%3D-540
Nonparametric tree graphical models,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DDpLFv4gAAAAJ%3AP5F9QuxV20EC%26tzom%3D-540
Selecting observations against adversarial objectives,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DDpLFv4gAAAAJ%3Ans9cj8rnVeAC%26tzom%3D-540
Nothing else matters: model-agnostic explanations by identifying prediction invariance,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DDpLFv4gAAAAJ%3A4MWp96NkSFoC%26tzom%3D-540
Over-optimization of academic publishing metrics: observing Goodhart’s Law in action,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DDpLFv4gAAAAJ%3A2VqYfGB8ITEC%26tzom%3D-540
Efficient inference for distributions on permutations,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DDpLFv4gAAAAJ%3ABqipwSGYUEgC%26tzom%3D-540
Hierarchical exploration for accelerating contextual bandits,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DDpLFv4gAAAAJ%3A8AbLer7MMksC%26tzom%3D-540
Connecting two (or less) dots: Discovering structure in news articles,https://scholar.google.com/citations?hl=ko&user=DpLFv4gAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DDpLFv4gAAAAJ%26cstart%3D100%26pagesize%3D100%26citation_for_view%3DDpLFv4gAAAAJ%3AK3LRdlH-MEoC%26tzom%3D-540
