title,link
Dropout: a simple way to prevent neural networks from overfitting,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AD03iK_w7-QYC%26tzom%3D-540
Reducing the dimensionality of data with neural networks,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3Au5HHmVD_uO8C%26tzom%3D-540
"Show, attend and tell: Neural image caption generation with visual attention",https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AEUQCXRtRnyEC%26tzom%3D-540
Improving neural networks by preventing co-adaptation of feature detectors,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3Ar0BpntZqJG4C%26tzom%3D-540
Semi-supervised learning using gaussian fields and harmonic functions,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AIRz6iEL74y4C%26tzom%3D-540
Probabilistic matrix factorization,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AM7yex6snE4oC%26tzom%3D-540
Probabilistic matrix factorization,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AvRqMK49ujn8C%26tzom%3D-540
Deep Boltzmann Machines.,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3ATyk-4Ss8FVUC%26tzom%3D-540
Xlnet: Generalized autoregressive pretraining for language understanding,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3ALO7wyVUgiFcC%26tzom%3D-540
Skip-thought vectors,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AKxtntwgDAa4C%26tzom%3D-540
Principal manifolds and nonlinear dimensionality reduction via tangent space alignment,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3ABwyfMAYsbu0C%26tzom%3D-540
Siamese neural networks for one-shot image recognition,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AUHK10RUVsp4C%26tzom%3D-540
Restricted Boltzmann machines for collaborative filtering,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3Ad1gkVwhDpl0C%26tzom%3D-540
Unsupervised learning of video representations using lstms,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AabG-DnoFyZgC%26tzom%3D-540
Neighbourhood components analysis,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3Au-x6o8ySG0sC%26tzom%3D-540
Human-level concept learning through probabilistic program induction,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AK3LRdlH-MEoC%26tzom%3D-540
Unifying visual-semantic embeddings with multimodal neural language models,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AbFI3QPDXJZMC%26tzom%3D-540
Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3Akz9GbA2Ns4gC%26tzom%3D-540
Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3AfQNAKQ3IYiAC%26tzom%3D-540
Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26citation_for_view%3DITZ1e7MAAAAJ%3A2osOgNQ5qMEC%26tzom%3D-540
Multimodal Learning with Deep Boltzmann Machines.,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DITZ1e7MAAAAJ%3AJV2RwH3_ST0C%26tzom%3D-540
Semantic hashing,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DITZ1e7MAAAAJ%3AW7OEmFMy1HYC%26tzom%3D-540
Transformer-xl: Attentive language models beyond a fixed-length context,https://scholar.google.com/citations?hl=ko&user=ITZ1e7MAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DITZ1e7MAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DITZ1e7MAAAAJ%3ASpbeaW3--B0C%26tzom%3D-540
