title,link
"Search for massive resonances decaying into WW, WZ, ZZ, qW, and qZ with dijet final states at s= 13 TeV",https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AL8oS6_awjPoC%26tzom%3D-540
Search for physics beyond the standard model in high-mass diphoton events from proton-proton collisions at s= 13 TeV,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AVfMbra648c4C%26tzom%3D-540
Measurement of the production cross section for single top quarks in association with W bosons in proton-proton collisions at√ s= 13 TeV,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AmmBnJtEBTSAC%26tzom%3D-540
Observation of the χb1 (3P) and χb2 (3P) and Measurement of their Masses,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AFXgMSCUEOHUC%26tzom%3D-540
Measurement of jet substructure observables in tt events from proton-proton collisions at s= 13 TeV MEASUREMENT of JET SUBSTRUCTURE OBSERVABLES... AM SIRUNYAN et al.,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3A8RJSsxxtMAkC%26tzom%3D-540
Search for resonant and nonresonant Higgs boson pair production in the bb¯ final state in proton-proton collisions at√ s= 13 TeV,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AU6twwk6Vgq8C%26tzom%3D-540
Combined search for electroweak production of charginos and neutralinos in proton-proton collisions at√ s= 13 TeV,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3ArPbfW60zdgkC%26tzom%3D-540
Nuclear modification factor of D0 mesons in PbPb collisions at sNN= 5.02 TeV,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AnvAonm6-wpUC%26tzom%3D-540
Search for the flavor-changing neutral current interactions of the top quark and the higgs boson which decays into a pair of b quarks at√ s= 13 TeV,https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3AM0jDNLgoRFEC%26tzom%3D-540
"Erratum to: Search for dark matter and unparticles in events with a Z boson and missing transverse momentum in proton-proton collisions at√ s= 13 TeV (JHEP,(2017), 9,(106), 10 …",https://scholar.google.com/citations?hl=ko&user=KiRvOHcAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DKiRvOHcAAAAJ%26cstart%3D800%26pagesize%3D100%26citation_for_view%3DKiRvOHcAAAAJ%3A8VbLR7ExW8oC%26tzom%3D-540
