title,link
Webwatcher: A tour guide for the world wide web,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3A2osOgNQ5qMEC%26tzom%3D-540
Predicting human brain activity associated with the meanings of nouns,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AUebtZRa9Y70C%26tzom%3D-540
Learning to extract symbolic knowledge from the World Wide Web,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AUeHWp8X0CEIC%26tzom%3D-540
Webwatcher: A learning apprentice for the world wide web,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AqjMakFHDy7sC%26tzom%3D-540
The need for biases in learning generalizations,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AY0pCki6q_DkC%26tzom%3D-540
Zero-shot learning with semantic output codes,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AblknAaTinKkC%26tzom%3D-540
Learning to decode cognitive states from brain images,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AWF5omc3nYNoC%26tzom%3D-540
Never-Ending Learning,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AisU91gLudPYC%26tzom%3D-540
Improving Text Classification by Shrinkage in a Hierarchy of Classes.,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3ATyk-4Ss8FVUC%26tzom%3D-540
Learning to construct knowledge bases from the World Wide Web,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26citation_for_view%3DMnfzuPYAAAAJ%3AW7OEmFMy1HYC%26tzom%3D-540
The discipline of machine learning,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AL8Ckcad2t8MC%26tzom%3D-540
The monk's problems a performance comparison of different learning algorithms,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AzYLM7Y9cAGgC%26tzom%3D-540
Experience with a learning personal assistant,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AIjCSPb-OGe4C%26tzom%3D-540
Constructing an expert system,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AufrVoPGSRksC%26tzom%3D-540
An overview of machine learning,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AZfRJV9d4-WMC%26tzom%3D-540
Random walk inference and learning in a large scale knowledge base,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3Al7t_Zn2s7bgC%26tzom%3D-540
Using EM to classify text from labeled and unlabeled documents,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3A_FxGoFyzp5QC%26tzom%3D-540
Coupled semi-supervised learning for information extraction,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3A7PzlFSSx8tAC%26tzom%3D-540
Version spaces: an approach to concept learning.,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AYsMSGLbcyi4C%26tzom%3D-540
Introduction to artificial intelligence and expert systems,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3Az-xpeKpFZ3wC%26tzom%3D-540
Learning by experimentation: Acquiring and refining problem-solving heuristics,https://scholar.google.com/citations?hl=ko&user=MnfzuPYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3DMnfzuPYAAAAJ%26cstart%3D20%26pagesize%3D80%26citation_for_view%3DMnfzuPYAAAAJ%3AeQOLeE2rZwMC%26tzom%3D-540
